Sample,Sampling,Model,Accuracy
Sample1,Sampling1,ModelM,0.9130434782608695
Sample1,Sampling1,ModelN,1.0
Sample1,Sampling1,ModelO,0.9565217391304348
Sample1,Sampling1,ModelP,0.7391304347826086
Sample1,Sampling1,ModelQ,0.8913043478260869
Sample1,Sampling2,ModelM,0.9130434782608695
Sample1,Sampling2,ModelN,0.9782608695652174
Sample1,Sampling2,ModelO,0.9565217391304348
Sample1,Sampling2,ModelP,0.6956521739130435
Sample1,Sampling2,ModelQ,0.9130434782608695
Sample1,Sampling3,ModelM,0.8695652173913043
Sample1,Sampling3,ModelN,0.9782608695652174
Sample1,Sampling3,ModelO,0.9565217391304348
Sample1,Sampling3,ModelP,0.6521739130434783
Sample1,Sampling3,ModelQ,0.8913043478260869
Sample1,Sampling4,ModelM,0.782608695652174
Sample1,Sampling4,ModelN,0.9347826086956522
Sample1,Sampling4,ModelO,0.9130434782608695
Sample1,Sampling4,ModelP,0.6086956521739131
Sample1,Sampling4,ModelQ,0.8043478260869565
Sample1,Sampling5,ModelM,0.9130434782608695
Sample1,Sampling5,ModelN,0.9782608695652174
Sample1,Sampling5,ModelO,0.9565217391304348
Sample1,Sampling5,ModelP,0.7391304347826086
Sample1,Sampling5,ModelQ,0.9130434782608695
Sample2,Sampling1,ModelM,0.8701298701298701
Sample2,Sampling1,ModelN,0.974025974025974
Sample2,Sampling1,ModelO,0.935064935064935
Sample2,Sampling1,ModelP,0.7922077922077922
Sample2,Sampling1,ModelQ,0.961038961038961
Sample2,Sampling2,ModelM,0.8701298701298701
Sample2,Sampling2,ModelN,0.974025974025974
Sample2,Sampling2,ModelO,0.935064935064935
Sample2,Sampling2,ModelP,0.7792207792207793
Sample2,Sampling2,ModelQ,0.961038961038961
Sample2,Sampling3,ModelM,0.8441558441558441
Sample2,Sampling3,ModelN,0.974025974025974
Sample2,Sampling3,ModelO,0.948051948051948
Sample2,Sampling3,ModelP,0.7272727272727273
Sample2,Sampling3,ModelQ,0.948051948051948
Sample2,Sampling4,ModelM,0.8181818181818182
Sample2,Sampling4,ModelN,0.935064935064935
Sample2,Sampling4,ModelO,0.8441558441558441
Sample2,Sampling4,ModelP,0.6233766233766234
Sample2,Sampling4,ModelQ,0.8311688311688312
Sample2,Sampling5,ModelM,0.8311688311688312
Sample2,Sampling5,ModelN,0.987012987012987
Sample2,Sampling5,ModelO,0.935064935064935
Sample2,Sampling5,ModelP,0.8441558441558441
Sample2,Sampling5,ModelQ,0.948051948051948
Sample3,Sampling1,ModelM,0.8504672897196262
Sample3,Sampling1,ModelN,0.9813084112149533
Sample3,Sampling1,ModelO,0.9345794392523364
Sample3,Sampling1,ModelP,0.8691588785046729
Sample3,Sampling1,ModelQ,0.9626168224299065
Sample3,Sampling2,ModelM,0.8598130841121495
Sample3,Sampling2,ModelN,0.9813084112149533
Sample3,Sampling2,ModelO,0.9345794392523364
Sample3,Sampling2,ModelP,0.8504672897196262
Sample3,Sampling2,ModelQ,0.9532710280373832
